"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","10uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","7","C2, C3, C4, C5, C6, C7, C8","10nF","Device:C","Capacitor_THT:C_Disc_D3.8mm_W2.6mm_P2.50mm","~"
"3","4","D1, D2, D3, D4","LED","Device:LED","LED_THT:LED_D3.0mm","~"
"4","1","J1","card addr","Connector_Generic:Conn_02x04_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x04_P2.54mm_Vertical","~"
"5","1","J2","Power Bus","Connector_Generic:Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical","~"
"6","1","J3","Signal Bus","Connector_Generic:Conn_02x20_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x20_P2.54mm_Vertical","~"
"7","1","J4","RAM bank","Connector_Generic:Conn_02x03_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","~"
"8","1","J5","ROM block","Connector_Generic:Conn_02x02_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x02_P2.54mm_Vertical","~"
"9","2","R1, R2","10k","Device:R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal","~"
"10","1","RN1","4x10k","Device:R_Network04","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"11","1","RN2","4x220","Device:R_Network04","Resistor_THT:R_Array_SIP5","http://www.vishay.com/docs/31509/csc.pdf"
"12","1","U1","74LS139","74xx:74LS139","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS139"
"13","1","U2","74LS04","74xx:74LS04","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS04"
"14","1","U3","74LS74","74xx:74LS74","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","74xx/74hc_hct74.pdf"
"15","1","U4","74LS85","74xx:74LS85","Package_DIP:DIP-16_W7.62mm_Socket_LongPads","http://www.ti.com/lit/gpn/sn74LS85"
"16","1","U5","SN74LS07N","74xx:SN74LS07N","Package_DIP:DIP-14_W7.62mm_Socket_LongPads","www.ti.com/lit/ds/symlink/sn74ls07.pdf"
"17","1","U6","628128","Memory_RAM:628128_DIP32_SSOP32","Package_DIP:DIP-32_W15.24mm_Socket_LongPads","http://www.futurlec.com/Datasheet/Memory/628128.pdf"
"18","1","U7","W27C512","Memory_EPROM:27C512","Socket:DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J","http://ww1.microchip.com/downloads/en/DeviceDoc/doc0015.pdf"
