;;MEM BOM;;;;;
Id;Designator;Package;Quantity;Designation;Supplier;and;ref
1;J2;PinHeader_2x05_P2.54mm_Vertical;1;Power;Bus;;
2;C1;CP_Radial_D5.0mm_P2.50mm;1;10uF;;;
3;C2,C3,C4,C5,C6,C7,C8;C_Disc_D3.8mm_W2.6mm_P2.50mm;7;10nF;;;
4;D1,D2,D3,D4;LED_D3.0mm;4;LED;;;
5;J1;PinHeader_2x04_P2.54mm_Vertical;1;card;addr;;
6;J3;PinHeader_2x20_P2.54mm_Vertical;1;Signal;Bus;;
7;J5;PinHeader_2x02_P2.54mm_Vertical;1;ROM;block;;
8;R1,R2;R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal;2;10k;;;
9;RN1;R_Array_SIP5;1;4x10k;;;
10;RN2;R_Array_SIP5;1;4x220;;;
11;U1;DIP-16_W7.62mm_Socket_LongPads;1;74LS139;;;
12;U2;DIP-14_W7.62mm_Socket_LongPads;1;74LS04;;;
13;U3;DIP-14_W7.62mm_Socket_LongPads;1;74LS74;;;
14;U4;DIP-16_W7.62mm_Socket_LongPads;1;74LS85;;;
15;U5;DIP-14_W7.62mm_Socket_LongPads;1;SN74LS07N;;;
16;U6;DIP-32_W15.24mm_Socket_LongPads;1;628128;;;
17;U7;DIP_Socket-28_W11.9_W12.7_W15.24_W17.78_W18.5_3M_228-1277-00-0602J;1;W27C512;;;
18;J4;PinHeader_2x03_P2.54mm_Vertical;1;RAM;bank;;
